"PRODUCT","NOUSCD","NUM","MIN","MAX"
"A-40P","999-9999",110,32.00,37.00
"A-40P","999-9999",120,12.00,15.00
"A-40P","999-9999",130,2.00,4.00
"A-40P","999-9999",140,0.20,0.60
"A-40P","999-9999",150,0.10,0.20
"A-40P","999-9999",160,60.00,70.00
"A-50PT","999-9999",10,5.00,0.00
"A-50PT","999-9999",20,81.50,88.50
"A-50PT","999-9999",30,0.30,5.00
"A-50PT","999-9999",40,99.00,103.00
"A-50PT","999-9999",50,0.00,0.00
"A-50PT","999-9999",60,0.00,0.00
"A-50PT","999-9999",70,0.10,0.40
"A-50PT","999-9999",80,2.50,5.50
"A-50PT","999-9999",90,13.50,16.50
"A-50PT","999-9999",100,27.00,31.00
"A-50PT","999-9999",110,32.00,37.00
"A-50PT","999-9999",120,12.00,15.00
"A-50PT","999-9999",130,2.00,4.00
"A-50PT","999-9999",140,0.20,0.60
"A-50PT","999-9999",150,0.10,0.20
"A-50PT","999-9999",160,0.00,0.00
"A-632ES","999-9999",10,3.00,0.00
"A-632ES","999-9999",20,60.00,66.00
"A-632ES","999-9999",30,0.30,5.00
"A-632ES","999-9999",40,99.00,102.00
"A-632ES","999-9999",50,0.00,0.00
"A-632ES","999-9999",60,0.00,0.00
"A-632ES","999-9999",70,0.10,0.40
"A-632ES","999-9999",80,2.50,5.50
"A-632ES","999-9999",90,13.50,16.50
"A-632ES","999-9999",100,27.00,31.00
"A-632ES","999-9999",110,32.00,37.00
"A-632ES","999-9999",120,12.00,15.00
"A-632ES","999-9999",130,2.00,4.00
"A-632ES","999-9999",140,0.20,0.60
"A-632ES","999-9999",150,0.10,0.20
"A-632ES","999-9999",160,0.00,0.00
"AA-20","999-9999",10,2.00,0.00
"AA-20","999-9999",20,31.60,34.40
"AA-20","999-9999",30,0.30,3.00
"AA-20","999-9999",40,102.00,105.00
"AA-20","999-9999",50,0.00,0.00
"AA-20","999-9999",60,0.10,0.20
"AA-20","999-9999",70,3.00,6.00
"AA-20","999-9999",80,21.50,25.50
"AA-20","999-9999",90,36.00,40.00
"AA-20","999-9999",100,22.50,26.50
"AA-20","999-9999",110,5.50,8.50
"AA-20","999-9999",120,1.00,3.00
"AA-20","999-9999",130,0.20,0.40
"AA-20","999-9999",140,0.00,0.20
"AA-20","999-9999",150,0.00,0.00
"AA-20","999-9999",160,0.00,0.00
"AA-25","999-9999",10,2.50,0.00
"AA-25","999-9999",20,42.20,45.80
"AA-25","999-9999",30,0.30,4.00
"AA-25","999-9999",40,101.00,104.00
"AA-25","999-9999",50,0.00,0.00
"AA-25","999-9999",60,0.10,0.20
"AA-25","999-9999",70,3.00,6.00
"AA-25","999-9999",80,21.50,25.50
"AA-25","999-9999",90,36.00,40.00
"AA-25","999-9999",100,22.50,26.50
"AA-25","999-9999",110,5.50,8.50
"AA-25","999-9999",120,1.00,3.00
"AA-25","999-9999",130,0.20,0.40
"AA-25","999-9999",140,0.00,0.20
"AA-25","999-9999",150,0.00,0.00
"AA-25","999-9999",160,0.00,0.00
"AN-25B","999-9999",10,2.50,0.00
"AN-25B","999-9999",20,51.80,56.20
"AN-25B","999-9999",30,0.30,4.00
"AN-25B","999-9999",40,97.00,100.00
"AN-25B","999-9999",50,0.00,0.00
"AN-25B","999-9999",60,0.00,0.00
"AN-25B","999-9999",70,0.10,0.40
"AN-25B","999-9999",80,2.60,4.60
"AN-25B","999-9999",90,12.00,15.00
"AN-25B","999-9999",100,25.50,29.50
"AN-25B","999-9999",110,33.00,37.00
"AN-25B","999-9999",120,14.50,17.50
"AN-25B","999-9999",130,2.50,4.50
"AN-25B","999-9999",140,0.20,0.80
"AN-25B","999-9999",150,0.10,0.30
"AN-25B","999-9999",160,0.00,0.00
"AR-09DH","999-9999",10,0.90,0.00
"AR-09DH","999-9999",20,75.00,90.00
"AR-09DH","999-9999",30,2.00,5.00
"AR-09DH","999-9999",40,95.00,100.00
"AR-09DH","999-9999",50,0.00,0.00
"AR-09DH","999-9999",60,0.00,0.20
"AR-09DH","999-9999",70,0.20,0.80
"AR-09DH","999-9999",80,4.50,10.00
"AR-09DH","999-9999",90,20.00,30.00
"AR-09DH","999-9999",100,22.00,28.00
"AR-09DH","999-9999",110,20.00,25.00
"AR-09DH","999-9999",120,13.00,16.00
"AR-09DH","999-9999",130,2.50,5.00
"AR-09DH","999-9999",140,0.10,0.50
"AR-09DH","999-9999",150,0.00,0.20
"AR-09DH","999-9999",160,57.00,65.00
"AR-18D","999-9999",10,1.80,0.00
"AR-18D","999-9999",20,119.00,137.00
"AR-18D","999-9999",30,2.00,6.00
"AR-18D","999-9999",40,92.00,100.00
"AR-18D","999-9999",50,0.00,0.00
"AR-18D","999-9999",60,0.00,0.10
"AR-18D","999-9999",70,0.00,0.20
"AR-18D","999-9999",80,0.30,0.60
"AR-18D","999-9999",90,6.00,9.00
"AR-18D","999-9999",100,51.00,56.00
"AR-18D","999-9999",110,25.00,29.00
"AR-18D","999-9999",120,7.00,9.00
"AR-18D","999-9999",130,1.00,2.20
"AR-18D","999-9999",140,0.20,0.60
"AR-18D","999-9999",150,0.00,0.20
"AR-18D","999-9999",160,57.00,69.00
"AR-18DH","999-9999",10,1.80,0.00
"AR-18DH","999-9999",20,118.00,138.00
"AR-18DH","999-9999",30,2.00,6.00
"AR-18DH","999-9999",40,92.00,100.00
"AR-18DH","999-9999",50,0.00,0.00
"AR-18DH","999-9999",60,0.00,0.10
"AR-18DH","999-9999",70,0.00,0.20
"AR-18DH","999-9999",80,0.30,0.60
"AR-18DH","999-9999",90,6.00,9.00
"AR-18DH","999-9999",100,51.00,56.00
"AR-18DH","999-9999",110,25.00,29.00
"AR-18DH","999-9999",120,7.00,9.00
"AR-18DH","999-9999",130,1.00,2.20
"AR-18DH","999-9999",140,0.20,0.60
"AR-18DH","999-9999",150,0.00,0.20
"AR-18DH","999-9999",160,56.00,66.00
"AR-18DR","999-9999",10,1.80,0.00
"AR-18DR","999-9999",20,98.00,110.00
"AR-18DR","999-9999",30,2.00,6.00
"AR-18DR","999-9999",40,94.00,104.00
"AR-18DR","999-9999",50,0.00,0.00
"AR-18DR","999-9999",60,0.00,0.10
"AR-18DR","999-9999",70,0.00,0.20
"AR-18DR","999-9999",80,0.30,0.60
"AR-18DR","999-9999",90,6.00,9.00
"AR-18DR","999-9999",100,51.00,56.00
"AR-18DR","999-9999",110,25.00,29.00
"AR-18DR","999-9999",120,7.00,9.00
"AR-18DR","999-9999",130,1.00,2.20
"AR-18DR","999-9999",140,0.20,0.60
"AR-18DR","999-9999",150,0.00,0.20
"AR-18DR","999-9999",160,0.00,0.00
"ARB-13X","999-9999",10,1.30,0.00
"ARB-13X","999-9999",20,36.00,46.00
"ARB-13X","999-9999",30,0.00,10.00
"ARB-13X","999-9999",40,95.00,105.00
"ARB-13X","999-9999",50,0.00,0.00
"ARB-13X","999-9999",60,0.00,0.50
"ARB-13X","999-9999",70,0.00,1.00
"ARB-13X","999-9999",80,0.00,10.00
"ARB-13X","999-9999",90,3.00,25.00
"ARB-13X","999-9999",100,5.00,40.00
"ARB-13X","999-9999",110,5.00,35.00
"ARB-13X","999-9999",120,3.00,20.00
"ARB-13X","999-9999",130,0.00,5.00
"ARB-13X","999-9999",140,0.00,3.00
"ARB-13X","999-9999",150,0.00,3.00
"ARB-13X","999-9999",160,0.00,0.00
"ARB-16DH","999-9999",10,1.60,0.00
"ARB-16DH","999-9999",20,75.00,90.00
"ARB-16DH","999-9999",30,2.00,5.00
"ARB-16DH","999-9999",40,95.00,100.00
"ARB-16DH","999-9999",50,0.00,0.00
"ARB-16DH","999-9999",60,0.00,0.10
"ARB-16DH","999-9999",70,0.10,1.00
"ARB-16DH","999-9999",80,3.00,9.00
"ARB-16DH","999-9999",90,15.00,23.00
"ARB-16DH","999-9999",100,25.00,37.00
"ARB-16DH","999-9999",110,23.00,32.00
"ARB-16DH","999-9999",120,9.00,18.00
"ARB-16DH","999-9999",130,1.50,5.00
"ARB-16DH","999-9999",140,0.10,0.50
"ARB-16DH","999-9999",150,0.00,0.20
"ARB-16DH","999-9999",160,55.00,65.00
"ARB-20JR","999-9999",10,2.00,0.00
"ARB-20JR","999-9999",20,80.00,90.00
"ARB-20JR","999-9999",30,2.00,5.00
"ARB-20JR","999-9999",40,90.00,100.00
"ARB-20JR","999-9999",50,0.00,0.00
"ARB-20JR","999-9999",60,0.00,0.10
"ARB-20JR","999-9999",70,0.10,1.50
"ARB-20JR","999-9999",80,5.00,8.00
"ARB-20JR","999-9999",90,20.00,25.00
"ARB-20JR","999-9999",100,31.00,36.00
"ARB-20JR","999-9999",110,22.00,28.00
"ARB-20JR","999-9999",120,4.00,8.00
"ARB-20JR","999-9999",130,1.00,2.30
"ARB-20JR","999-9999",140,0.10,0.30
"ARB-20JR","999-9999",150,0.00,0.00
"ARB-20JR","999-9999",160,0.00,0.00
"ARB-25D","999-9999",10,2.50,0.00
"ARB-25D","999-9999",20,87.00,97.00
"ARB-25D","999-9999",30,2.00,5.00
"ARB-25D","999-9999",40,98.00,102.00
"ARB-25D","999-9999",50,0.00,0.00
"ARB-25D","999-9999",60,0.00,0.00
"ARB-25D","999-9999",70,0.10,0.30
"ARB-25D","999-9999",80,1.00,1.70
"ARB-25D","999-9999",90,18.00,22.00
"ARB-25D","999-9999",100,27.00,33.00
"ARB-25D","999-9999",110,24.00,30.00
"ARB-25D","999-9999",120,16.00,20.00
"ARB-25D","999-9999",130,2.00,4.00
"ARB-25D","999-9999",140,0.10,0.30
"ARB-25D","999-9999",150,0.00,0.00
"ARB-25D","999-9999",160,55.00,65.00
"ARB-25DJR","999-9999",10,2.50,0.00
"ARB-25DJR","999-9999",20,90.00,100.00
"ARB-25DJR","999-9999",30,1.00,4.00
"ARB-25DJR","999-9999",40,92.00,100.00
"ARB-25DJR","999-9999",50,0.00,0.00
"ARB-25DJR","999-9999",60,0.00,0.00
"ARB-25DJR","999-9999",70,0.20,0.60
"ARB-25DJR","999-9999",80,3.00,5.00
"ARB-25DJR","999-9999",90,18.00,21.00
"ARB-25DJR","999-9999",100,33.20,38.20
"ARB-25DJR","999-9999",110,26.50,29.50
"ARB-25DJR","999-9999",120,7.50,10.50
"ARB-25DJR","999-9999",130,1.00,2.00
"ARB-25DJR","999-9999",140,0.20,0.40
"ARB-25DJR","999-9999",150,0.00,0.10
"ARB-25DJR","999-9999",160,0.00,0.00
"ARG-20","999-9999",10,2.00,0.00
"ARG-20","999-9999",20,75.00,85.00
"ARG-20","999-9999",30,0.60,4.00
"ARG-20","999-9999",40,94.00,104.00
