"JuchuuNO","JuchuuDenpyouNO","JuchuuKyotenCD","JuchuuKyotenNM","JuchuuYMD","Nouki","ShukkaKyotenCD","ShukkaBashoCD","JuchuuKBN","HaisouCD","ChikuCD","NouSCD","NouSSNM","UserHinban","UserHinmei","ItemCD","ItemNM","JuchuuSuu","NisugataCD","UriKeitaiKBN","Tekiyou1","TankaUnitCD"
1321252,683790,"480","長野支店",2026/04/03,2026/04/14,"310","310-RCS01","1","4.引取","480-00","480-06402","（株）ホクシン","BT-18X","コーテッド　ＢＴ－１８Ｘ","11-BT-18X","コーテッド　ＢＴ－１８Ｘ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321253,683790,"480","長野支店",2026/04/03,2026/04/14,"310","310-RCS01","1","4.引取","480-00","480-06402","（株）ホクシン","BH-25C","コーテッド　ＢＨ－２５Ｃ","11-BH-25C","コーテッド　ＢＨ－２５Ｃ",5000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321254,683790,"480","長野支店",2026/04/03,2026/04/14,"310","310-RCS01","1","4.引取","480-00","480-06402","（株）ホクシン","N8-25U","コーテッド　Ｎ８－２５Ｕ","11-N8-25U","コーテッド　Ｎ８－２５Ｕ",5000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321541,683941,"415","北陸(営)",2026/04/06,2026/04/14,"310","310-RCS01","1","4.引取","415-00","415-06398","北陸鋳材（株）","G-21TA","コーテッド　Ｇ－２１ＴＡ","11-G-21TA","コーテッド　Ｇ－２１ＴＡ",13000,"ﾌﾚｺﾝ(500Kg)","","4/15納入","Kg"
1321542,683942,"415","北陸(営)",2026/04/06,2026/04/16,"310","310-RCS01","1","4.引取","415-00","415-06398","北陸鋳材（株）","BG-1","コーテッド　ＢＧ－１","11-BG-1","コーテッド　ＢＧ－１",8000,"ﾌﾚｺﾝ(500Kg)","","4/17納入","Kg"
1321592,683968,"410","野間（営）",2026/04/06,2026/04/08,"310","310-RCS03","1","4.引取","410-01","410-05988","浜本製作所","F-20D","コーテッド　Ｆ－２０Ｄ","11-F-20D","コーテッド　Ｆ－２０Ｄ",50,"紙袋","","","Kg"
1321615,683987,"310","野間（事）",2026/04/07,2026/05/12,"310","310-RCS08","1","4.引取","430-00","430-03386","（株）栗本鐵工所　加賀屋工場","PS-28KC","コーテッド　ＰＳ－２８ＫＣ","11-PS-28KC","コーテッド　ＰＳ－２８ＫＣ",9000,"ﾏﾃﾗﾝﾌﾚｺﾝ(1ﾄﾝ)","","松廣商店引取り","Kg"
1321674,684020,"410","野間（営）",2026/04/07,2026/04/21,"310","310-RCS03","1","4.引取","410-09","410-06197","（株）古川電機製作所","RR-48CW","コーテッド　ＲＲ－４８ＣＷ","11-RR-48CW","コーテッド　ＲＲ－４８ＣＷ",1000,"紙袋","","","Kg"
1321797,684074,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","BW-28C","コーテッド　ＢＷ－２８Ｃ","11-BW-30C","コーテッド　ＢＷ－３０Ｃ",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321798,684074,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","A-23A","コーテッド　Ａ－２３Ａ","11-A-23A","コーテッド　Ａ－２３Ａ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321799,684074,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","N8-25U","コーテッド　Ｎ８－２５Ｕ","11-N8-25U","コーテッド　Ｎ８－２５Ｕ",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321800,684074,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","BH-25C","コーテッド　ＢＨ－２５Ｃ","11-BH-25C","コーテッド　ＢＨ－２５Ｃ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321801,684074,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","F-16N8","コーテッド　Ｆ－１６Ｎ８","11-F-16N8","コーテッド　Ｆ－１６Ｎ８",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321803,684076,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","N8-25U","コーテッド　Ｎ８－２５Ｕ","11-N8-25U","コーテッド　Ｎ８－２５Ｕ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321804,684076,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","BH-25C","コーテッド　ＢＨ－２５Ｃ","11-BH-25C","コーテッド　ＢＨ－２５Ｃ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321805,684076,"480","長野支店",2026/04/07,2026/04/11,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","T-28CU","コーテッド　Ｔ－２８ＣＵ","11-T-28CU","コーテッド　Ｔ－２８ＣＵ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321935,684155,"410","野間（営）",2026/04/08,2026/04/09,"310","310-RCS03","1","4.引取","410-09","410-09401","新東工業（株）大崎事業所 資材検収室","RS-25","コーテッド　ＲＳ－２５","11-RS-25","コーテッド　ＲＳ－２５",100,"紙袋","","","Kg"
1321936,684156,"415","北陸(営)",2026/04/08,2026/04/13,"310","310-RCS01","1","4.引取","415-00","415-03896","（株）リケンＣＫＪＶ","B-29AW","コーテッド　Ｂ－２９ＡＷ","11-B-29AW","コーテッド　Ｂ－２９ＡＷ",3000,"ﾌﾚｺﾝ(500Kg)","","4/14納入","Kg"
